"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","www.economie.gouv.fr/46.105.202.193","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.economie.gouv.fr/46.105.202.193","443","INFO","not present","",""
"cert_crlDistributionPoints","www.economie.gouv.fr/46.105.202.193","443","INFO","http://crl.usertrust.com/GandiStandardSSLCA2.crl","",""
"cert_ocspURL","www.economie.gouv.fr/46.105.202.193","443","INFO","http://ocsp.usertrust.com","",""
"OCSP_stapling","www.economie.gouv.fr/46.105.202.193","443","OK","offered","",""
"cert_ocspRevoked","www.economie.gouv.fr/46.105.202.193","443","OK","not revoked","",""
"cert_mustStapleExtension","www.economie.gouv.fr/46.105.202.193","443","INFO","--","",""
"DNS_CAArecord","www.economie.gouv.fr/46.105.202.193","443","OK","issue=certigna.com, issue=sectigo.com","",""
"certificate_transparency","www.economie.gouv.fr/46.105.202.193","443","OK","yes (certificate extension)","",""
"certs_countServer","www.economie.gouv.fr/46.105.202.193","443","INFO","3","",""
"certs_list_ordering_problem","www.economie.gouv.fr/46.105.202.193","443","LOW","yes","",""
"cert_caIssuers","www.economie.gouv.fr/46.105.202.193","443","INFO","Gandi Standard SSL CA 2 (Gandi from FR)","",""
